site,design,model,year,lolp_pct,unmet_hours
Edinburgh,final,study,2014,0.0,0
Edinburgh,final,study,2015,0.0,0
Edinburgh,final,study,2016,0.6261384335154827,55
Edinburgh,final,study,2017,0.0,0
Edinburgh,final,study,2018,0.0,0
Edinburgh,final,study,2019,0.2968036529680365,26
Edinburgh,final,study,2020,0.4326047358834244,38
Edinburgh,final,pvgis,2005,0.9817351598173516,86
Edinburgh,final,pvgis,2006,0.5251141552511416,46
Edinburgh,final,pvgis,2007,0.03424657534246575,3
Edinburgh,final,pvgis,2008,0.47814207650273227,42
Edinburgh,final,pvgis,2009,0.91324200913242,80
Edinburgh,final,pvgis,2010,3.7899543378995433,332
Edinburgh,final,pvgis,2011,0.19406392694063926,17
Edinburgh,final,pvgis,2012,0.7058287795992715,62
Edinburgh,final,pvgis,2013,0.182648401826484,16
Edinburgh,final,pvgis,2014,0.045662100456621,4
Edinburgh,final,pvgis,2015,0.0,0
Edinburgh,final,pvgis,2016,0.9790528233151183,86
Edinburgh,final,pvgis,2017,0.03424657534246575,3
Edinburgh,final,pvgis,2018,0.0,0
Edinburgh,final,pvgis,2019,0.7077625570776256,62
Edinburgh,final,pvgis,2020,0.6830601092896175,60
