pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
950,1.5,0.0005707762557077625,675.3664077764037,13241.623603633467
950,2.0,0.0,675.1704636346042,13800.297496008174
950,2.5,0.0,675.0436510143098,14358.971388382883
950,3.0,0.0,674.9168384216994,14917.645280757592
950,4.0,0.0,674.6632132852442,16034.993065507007
950,5.0,0.0,674.4095884135205,17152.340850256423
950,7.0,0.0,673.9023401017874,19387.036419755255
950,10.0,0.0,673.1414687185725,22739.079774003505
1000,1.0,0.0045662100456621,718.6483089891535,12907.94971125876
1000,1.5,0.00011415525114155251,717.9423035651708,13466.623603633467
1000,2.0,0.0,717.8118744963853,14025.297496008176
1000,2.5,0.0,717.6850615342829,14583.971388382883
1000,3.0,0.0,717.5582485780321,15142.645280757592
1000,4.0,0.0,717.3046226853251,16259.993065507007
1000,5.0,0.0,717.0509968022585,17377.340850256423
1000,7.0,0.0,716.5437450974995,19612.036419755255
1000,10.0,0.0,715.7828677675933,22964.079774003505
1050,1.0,0.003995433789954338,761.2001384124069,13132.94971125876
1050,1.5,0.0,760.5787219073819,13691.623603633467
1050,2.0,0.0,760.4519084368446,14250.297496008176
1050,2.5,0.0,760.3250949701253,14808.971388382883
1050,3.0,0.0,760.1982815048165,15367.645280757592
1050,4.0,0.0,759.9446545824616,16484.993065507006
1050,5.0,0.0,759.6910276733626,17602.340850256423
1050,7.0,0.0,759.1837739276776,19837.036419755255
1050,10.0,0.0,758.4228935411847,23189.079774003505
1100,1.0,0.003538812785388128,803.7507754403734,13357.94971125876
1100,1.5,0.0,803.2175326776535,13916.623603633467
1100,2.0,0.0,803.0907189637178,14475.297496008176
1100,2.5,0.0,802.9639052535496,15033.971388382883
1100,3.0,0.0,802.8370915499048,15592.645280757592
1100,4.0,0.0,802.5834641540199,16709.993065507006
1100,5.0,0.0,802.3298367690704,17827.340850256423
1100,7.0,0.0,801.8225820170111,20062.036419755255
1100,10.0,0.0,801.0616999751344,23414.079774003505
1150,1.0,0.0027397260273972603,846.3024509626558,13582.94971125876
1150,1.5,0.0,845.855320690143,14141.623603633467
1150,2.0,0.0,845.7285054999568,14700.297496008176
1150,2.5,0.0,845.6016903179316,15258.971388382883
1150,3.0,0.0,845.4748751422352,15817.645280757592
1150,4.0,0.0,845.2212448058489,16934.993065507006
1150,5.0,0.0,844.9676144830954,18052.340850256423
1150,7.0,0.0,844.4603539373426,20287.036419755255
1150,10.0,0.0,843.6994663429446,23639.079774003505
1200,1.0,0.00228310502283105,888.884503889208,13807.94971125876
1200,1.5,0.0,888.4925291893538,14366.623603633467
1200,2.0,0.0,888.3657131726762,14925.297496008176
1200,2.5,0.0,888.2388971559988,15483.971388382883
1200,3.0,0.0,888.112081139322,16042.645280757592
1200,4.0,0.0,887.8584491232795,17159.993065507006
1200,5.0,0.0,887.604817130585,18277.340850256423
1200,7.0,0.0,887.0975535099813,20512.036419755255
1200,10.0,0.0,886.3366585464978,23864.079774003505
